extension	mime	name	pattern	patternVariant
.wmv		Advanced Systems Format	"[{""fromIndex"":0,""hex"":""30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C""}]"	
		System Deployment Image	"[{""fromIndex"":0,""hex"":""24 53 44 49 30 30 30 31""}]"	
.ogg		Ogg Media	"[{""fromIndex"":0,""hex"":""4F 67 67 53""}]"	
.oga		Ogg Media	"[{""fromIndex"":0,""hex"":""4F 67 67 53""}]"	
.ogv		Ogg Media	"[{""fromIndex"":0,""hex"":""4F 67 67 53""}]"	
.wav		Waveform Audio File	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""57 41 56 45""}]"	
.avi		Audio Video Interleave (AVI)	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""41 56 49 20""}]"	
.mp3		MP3 Audio	"[{""fromIndex"":0,""hex"":""FF FB FF F3 FF F2""}]"	
.mp3		MP3 Audio With ID3v2 Container	"[{""fromIndex"":0,""hex"":""49 44 33""}]"	
.cdi		CD-i CD Image	"[{""fromIndex"":387785,""hex"":""43 44 30 30 31""}]"	
.mgw		Nintendo Game & Watch Image	"[{""fromIndex"":0,""hex"":""6D 61 69 6E 2E 62 73""}]"	
.nes		Nintendo Entertainment System Image	"[{""fromIndex"":0,""hex"":""4E 45 53""}]"	
.fits		Flexible Image Transport System (FITS) File	"[{""fromIndex"":0,""hex"":""53 49 4D 50 4C 45 20 20 3D 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 54""}]"	
.flac		Free Lossless Audio Codec (FLAC) File	"[{""fromIndex"":0,""hex"":""66 4C 61 43""}]"	
.mid		MIDI Sound File	"[{""fromIndex"":0,""hex"":""4D 54 68 64""}]"	
.midi		MIDI Sound File	"[{""fromIndex"":0,""hex"":""4D 54 68 64""}]"	
.dex		Dalvik Executable	"[{""fromIndex"":0,""hex"":""64 65 78 0A 30 33 35 00""}]"	
.vmdk		VMware Virtual Disk	"[{""fromIndex"":0,""hex"":""4B 44 4D""}]"	
.vmdk		VMware 4 Virtual Disk Description File	"[{""fromIndex"":0,""hex"":""23 20 44 69 73 6B 20 44 65 73 63 72 69 70 74 6F""}]"	
.crx		Google Chrome Extension	"[{""fromIndex"":0,""hex"":""43 72 32 34""}]"	
.fh8		FreeHand 8 Document	"[{""fromIndex"":0,""hex"":""41 47 44 33""}]"	
.cwk		AppleWorks 5 Document	"[{""fromIndex"":0,""hex"":""05 07 00 00 42 4F 42 4F 05 07 00 00 00 00 00 00 00 00 00 00 00 01""}]"	
.cwk		AppleWorks 6 Document	"[{""fromIndex"":0,""hex"":""06 07 E1 00 42 4F 42 4F 06 07 E1 00 00 00 00 00 00 00 00 00 00 01""}]"	
.toast		Roxio Toast Disc Image	"[{""fromIndex"":0,""hex"":""45 52 02 00 00 00""}]"	NoPrefix
.toast		Roxio Toast Disc Image	"[{""fromIndex"":0,""hex"":""8B 45 52 02 00 00 00""}]"	Prefix
.xar		eXtensible ARchive	"[{""fromIndex"":0,""hex"":""78 61 72 21""}]"	
.dat		Windows Files & Settings Transfer Repository File	"[{""fromIndex"":0,""hex"":""50 4D 4F 43 43 4D 4F 43""}]"	
.nes		Nintendo Entertainment System ROM file	"[{""fromIndex"":0,""hex"":""4E 45 53 1A""}]"	
.tar		TAR Archive	"[{""fromIndex"":257,""hex"":""75 73 74 61 72 00 30 30 75 73 74 61 72 20 20 00""}]"	
.oar		OAR Archive	"[{""fromIndex"":0,""hex"":""4F 41 52""}]"	
.tox		Open Source Portable Voxel File	"[{""fromIndex"":0,""hex"":""74 6F 78 33""}]"	
.MLV		Magic Lantern Video file	"[{""fromIndex"":0,""hex"":""4D 4C 56 49""}]"	
		Windows Update Binary Delta Compression File	"[{""fromIndex"":0,""hex"":""44 43 4D 01 50 41 33 30 50 41 33 30""}]"	
.7z		7-Zip File Format	"[{""fromIndex"":0,""hex"":""37 7A BC AF 27 1C""}]"	
.lz4		LZ4 Frame File	"[{""fromIndex"":0,""hex"":""04 22 4D 18""}]"	
.cab		Microsoft Cabinet File	"[{""fromIndex"":0,""hex"":""4D 53 43 46""}]"	
.flif		Free Lossless Image Format (FLIF) File	"[{""fromIndex"":0,""hex"":""46 4C 49 46""}]"	
.stg		SEAN Session Analysis Training File	"[{""fromIndex"":0,""hex"":""4D 49 4C 20""}]"	
.der		DER Encoded X.509 Certificate File	"[{""fromIndex"":0,""hex"":""30 82""}]"	
.ppk		PuTTY Private Key File Version 2	"[{""fromIndex"":0,""hex"":""50 75 54 54 59 2D 55 73 65 72 2D 4B 65 79 2D 46 69 6C 65 2D 32 3A""}]"	
.ppk		PuTTY Private Key File Version 3	"[{""fromIndex"":0,""hex"":""50 75 54 54 59 2D 55 73 65 72 2D 4B 65 79 2D 46 69 6C 65 2D 33 3A""}]"	
		OpenSSH Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 4F 50 45 4E 53 53 48 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.pub		OpenSSH Public Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 53 53 48 32 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.dcm		DICOM Medical File Format	"[{""fromIndex"":128,""hex"":""44 49 43 4D""}]"	
.woff		WOFF 1.0 Font	"[{""fromIndex"":0,""hex"":""77 4F 46 46""}]"	
.woff2		WOFF 2.0 Font	"[{""fromIndex"":0,""hex"":""77 4F 46 32""}]"	
.lep		Lepton Compressed JPEG Image	"[{""fromIndex"":0,""hex"":""CF 84 01""}]"	
.deb		Linux Deb File	"[{""fromIndex"":0,""hex"":""21 3C 61 72 63 68 3E 0A""}]"	
.rtf		Rich Text Format (RTF) File	"[{""fromIndex"":0,""hex"":""7B 5C 72 74 66""},{""fromIndex"":-1,""hex"":""7D""}]"	
		Microsoft Tape File	"[{""fromIndex"":0,""hex"":""54 41 50 45""}]"	
.mp4		MPEG-4 Video	"[{""fromIndex"":4,""hex"":""66 74 79 70 69 73 6F 6D""}]"	isom
.mp4		MPEG-4 Video	"[{""fromIndex"":4,""hex"":""66 74 79 70 4D 53 4E 56""}]"	MSNV
.orc		Apache Optimized Row Columnar (ORC) File	"[{""fromIndex"":0,""hex"":""4F 52 43""}]"	
.m3u8		Multimedia Playlist	"[{""fromIndex"":0,""hex"":""23 45 58 54 4D 33 55""}]"	
.m3u		Multimedia Playlist	"[{""fromIndex"":0,""hex"":""23 45 58 54 4D 33 55""}]"	
.m		M2 Archive	"[{""fromIndex"":0,""hex"":""6D 64 66 00""}]"	
.pak		Capcom RE Engine Game Data Archive	"[{""fromIndex"":0,""hex"":""4B 50 4B 41""}]"	
.arc		Capcom MT Framework Game Data Archive	"[{""fromIndex"":0,""hex"":""41 52 43""}]"	
.pl		Interleaf PrinterLeaf	"[{""fromIndex"":0,""hex"":""D0 4F 50 53""}]"	
.nii		NIfTI File	"[{""fromIndex"":344,""hex"":""6E 2B 31 00""}]"	
.hdr		NIfTI Header File	"[{""fromIndex"":344,""hex"":""6E 69 31 00""}]"	
		Digital Metaphors Report Builder File	"[{""fromIndex"":0,""hex"":""52 41 46 36 34""}]"	
		Visionaire 3 Engine Resource File	"[{""fromIndex"":0,""hex"":""56 49 53 33""}]"	
.pwrdata		SAP Power Monitor (Version 1.1.0) Data File	"[{""fromIndex"":0,""hex"":""70 77 72 64 61 74 61""}]"	
.arc		ARC Archive	"[{""fromIndex"":0,""hex"":""1A 08""}]"	
.asc		Armored PGP Public Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 47 50 20 50 55 42 4C 49 43 20 4B 45 49 20 42 4C 4F 43 4B 2D 2D 2D 2D 2D""}]"	
.cnt		Windows Help Content File	"[{""fromIndex"":0,""hex"":""3A 42 61 73 65 20""}]"	
.nri		Nero CD Compilation File	"[{""fromIndex"":0,""hex"":""0E 4E 65 72 6F 49 53 4F""}]"	
.wks		DeskMate Worksheet File	"[{""fromIndex"":0,""hex"":""0E 57 4B 53""}]"	
.sib		Sibelius Music Score File	"[{""fromIndex"":0,""hex"":""0F 53 49 42 45 4C 49 55 53""}]"	
.gz		GZip Archive	"[{""fromIndex"":0,""hex"":""1F 8B""}]"	
.tar.gz		GZip Archive	"[{""fromIndex"":0,""hex"":""1F 8B""}]"	
.xz		XZ LZMA2 Archive	"[{""fromIndex"":0,""hex"":""FD 37 7A 58 5A 00""}]"	
.tar.xz		XZ LZMA2 Archive	"[{""fromIndex"":0,""hex"":""FD 37 7A 58 5A 00""}]"	
.crt		PEM Encoded X.509 Certificate File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D""}]"	
.pem		PEM Encoded X.509 Certificate File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D""}]"	
.csr		PEM Encoded X.509 Certificate Signing Request File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D""}]"	
.pem		PEM Encoded X.509 Certificate Signing Request File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D""}]"	
.key		Pem Encoded X.509 PKCS#8 Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.pem		Pem Encoded X.509 PKCS#8 Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.key		PEM Encoded X.509 PKCS#1 DSA Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.pem		PEM Encoded X.509 PKCS#1 DSA Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.key		PEM Encoded X.509 PKCS#1 RSA Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 45 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.pem		PEM Encoded X.509 PKCS#1 RSA Private Key File	"[{""fromIndex"":0,""hex"":""2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 45 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D""}]"	
.tga		Truevision Targa Graphic File	"[{""fromIndex"":-18,""hex"":""54 52 55 45 56 49 53 49 4F 4E 2D 58 46 49 4C 45 2E 00""}]"	
.avif		Alliance for Open Media (AOMedia) Video 1 (AV1) Image Format	"[{""fromIndex"":0,""hex"":""00 00 00""}]"	
.xxx		Compucon/Singer Embroidery Design File	"[{""fromIndex"":0,""hex"":""00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00""}]"	
.rvt		Revit Project File Subheader	"[{""fromIndex"":512,""hex"":""00 00 00 00 00 00 00 00""}]"	
.tbi		Windows Disk Image File	"[{""fromIndex"":0,""hex"":""00 00 00 00 14 00 00 00""}]"	
.dat		Bitcoin Core Wallet File	"[{""fromIndex"":8,""hex"":""00 00 00 00 62 31 05 00 09 00 00 00 00 20 00 00 00 09 00 00 00 00 00 00""}]"	
.bsb		NOAA Raster Navigation Chart (RNC) File	"[{""fromIndex"":0,""hex"":""21 0D 0A 43 52 52 2F 54 68 69 73 20 65 6C 65 63 74 72 6F 6E 69 63 20 63 68 61 72 74 20 77 61 73 20 70 72 6F 64 75 63 65 64 20 75 6E 64 65 72 20 74 68 65 20 61 75 74 68 6F 72 69 74 79 20 6F 66 20 55 53 41 2D 4E 4F 41 41 2F 4E 4F 53 2E 0D 0A""}]"	
.epub		Electronic Publication File	"[{""fromIndex"":0,""hex"":""50 4B 03 04""},{""fromIndex"":30,""hex"":""6D 69 6D 65 74 79 70 65 61 70 70 6C 69 63 61 74 69 6F 6E 2F 65 70 75 62 2B 7A 69 70""}]"	
.doc		Microsoft Office Word Document	"[{""fromIndex"":0,""hex"":""D0 CF 11 E0 A1 B1 1A E1""}]"	
.xls		Microsoft Office Excel Document	"[{""fromIndex"":0,""hex"":""D0 CF 11 E0 A1 B1 1A E1""}]"	
.ppt		Microsoft Office PowerPoint Document	"[{""fromIndex"":0,""hex"":""D0 CF 11 E0 A1 B1 1A E1""}]"	
.msi		Windows Installer	"[{""fromIndex"":0,""hex"":""D0 CF 11 E0 A1 B1 1A E1""}]"	
.msg		Microsoft Outlook Item	"[{""fromIndex"":0,""hex"":""D0 CF 11 E0 A1 B1 1A E1""}]"	
.mkv		Matroska Media File	"[{""fromIndex"":0,""hex"":""1A 45 DF A3""}]"	
.mka		Matroska Media File	"[{""fromIndex"":0,""hex"":""1A 45 DF A3""}]"	
.mks		Matroska Media File	"[{""fromIndex"":0,""hex"":""1A 45 DF A3""}]"	
.mk3d		Matroska Media File	"[{""fromIndex"":0,""hex"":""1A 45 DF A3""}]"	
.webm		WebM File	"[{""fromIndex"":0,""hex"":""1A 45 DF A3""}]"	
.djvu		DjVu Document	"[{""fromIndex"":0,""hex"":""41 54 26 54 46 4F 52 4D""},{""fromIndex"":12,""hex"":""44 4A 56""}]"	
.djv		DjVu Document	"[{""fromIndex"":0,""hex"":""41 54 26 54 46 4F 52 4D""},{""fromIndex"":12,""hex"":""44 4A 56""}]"	
		uImage File	"[{""fromIndex"":0,""hex"":""27 05 19 56""}]"	
.lzfse		LZFSE File	"[{""fromIndex"":0,""hex"":""62 76 78 32""}]"	
.avro		Apache Avro binary file format	"[{""fromIndex"":0,""hex"":""4F 62 6A 01""}]"	
.rc		RCFile columnar file format	"[{""fromIndex"":0,""hex"":""53 45 51 36""}]"	
.rbxl		Roblox Place File	"[{""fromIndex"":0,""hex"":""3C 72 6F 62 6C 6F 78 21""}]"	
.p25		PhotoCap Object Templates File	"[{""fromIndex"":0,""hex"":""65 87 78 56""}]"	
.obt		PhotoCap Object Templates File	"[{""fromIndex"":0,""hex"":""65 87 78 56""}]"	
.pcv		PhotoCap Vector File	"[{""fromIndex"":0,""hex"":""55 55 AA AA""}]"	
.pbt		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pdt		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pea		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.peb		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pet		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pgt		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pict		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pjt		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pkt		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
.pmt		PhotoCap Template File	"[{""fromIndex"":0,""hex"":""78 56 34""}]"	
		Apache Parquet Columnar File	"[{""fromIndex"":0,""hex"":""50 41 52 31""}]"	
.ez2		Emulator Emaxsynth Samples File	"[{""fromIndex"":0,""hex"":""45 4D 58 32""}]"	
.ez3		Emulator III Synth Samples File	"[{""fromIndex"":0,""hex"":""45 4D 55 33""}]"	
.luac		Lua Bytecode File	"[{""fromIndex"":0,""hex"":""1B 4C 75 61""}]"	
.alias		macOS File Alias (Symbolic Link)	"[{""fromIndex"":0,""hex"":""62 6F 6F 6B 00 00 00 00 6D 61 72 6B 00 00 00 00""}]"	
.Identifier		Microsoft URL Security Zones Identifier File	"[{""fromIndex"":0,""hex"":""5B 5A 6F 6E 65 54 72 61 6E 73 66 65 72 5D""}]"	
.eml		Email Message Var5 File	"[{""fromIndex"":0,""hex"":""52 65 63 65 69 76 65 64 3A""}]"	
.tde		Tableau Datasource File	"[{""fromIndex"":0,""hex"":""20 02 01 62 A0 1E AB 07 02 00 00 00""}]"	
.kdb		KDB File	"[{""fromIndex"":0,""hex"":""37 48 03 02 00 00 00 00 58 35 30 39 4B 45 59""}]"	
.pgp		PGP File	"[{""fromIndex"":0,""hex"":""85""},{""fromIndex"":3,""hex"":""03""}]"	
.zst		Zstandard Archive	"[{""fromIndex"":0,""hex"":""28 B5 2F FD""}]"	
.rs		QuickZip RS Archive	"[{""fromIndex"":0,""hex"":""52 53 56 4B 44 41 54 41""}]"	
.sml		Smile file	"[{""fromIndex"":0,""hex"":""3A 29 0A""}]"	
		Preferred Executable Format	"[{""fromIndex"":0,""hex"":""4A 6F 79 21""}]"	
.srt		SubRip File	"[{""fromIndex"":0,""hex"":""31 0A 30 30""}]"	
.vpk		VPK File	"[{""fromIndex"":0,""hex"":""34 12 AA 55""}]"	
.ace		ACE Archive	"[{""fromIndex"":7,""hex"":""2A 2A 41 43 45 2A 2A""}]"	
.arj		ARJ File	"[{""fromIndex"":0,""hex"":""60 EA""}]"	
.cab		InstallShield CAB Archive	"[{""fromIndex"":0,""hex"":""49 53 63 28""}]"	
.wmf		Windows Metafile	"[{""fromIndex"":0,""hex"":""D7 CD C6 9A""}]"	
.xcf		XCF File	"[{""fromIndex"":0,""hex"":""67 69 6D 70 20 78 63 66""}]"	
.xpm		X PixMap File	"[{""fromIndex"":0,""hex"":""2F 2A 20 58 50 4D 20 2A 2F""}]"	
.aff		Advanced Forensics File	"[{""fromIndex"":0,""hex"":""41 46 46""}]"	
.Ex01		EnCase EWF Version 2 File	"[{""fromIndex"":0,""hex"":""45 56 46 32""}]"	
.e01		EnCase EWF Version 1 File	"[{""fromIndex"":0,""hex"":""45 56 46""}]"	
.qcow		QEMU Copy On Write (QCOW) File	"[{""fromIndex"":0,""hex"":""51 46 49""}]"	
.ani		Animated Cursor File	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""41 43 4F 4E""}]"	
.cda		CDA File	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""43 44 44 41""}]"	
.qcp		Qualcomm PureVoice File	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""51 4C 43 4D""}]"	
.dir		Macromedia Director File	"[{""fromIndex"":0,""hex"":""52 49 46 58""},{""fromIndex"":8,""hex"":""4D 56 39 33""}]"	BE
.dxr		Macromedia Director File	"[{""fromIndex"":0,""hex"":""52 49 46 58""},{""fromIndex"":8,""hex"":""4D 56 39 33""}]"	BE
.drx		Macromedia Director File	"[{""fromIndex"":0,""hex"":""52 49 46 58""},{""fromIndex"":8,""hex"":""4D 56 39 33""}]"	BE
.dir		Macromedia Director File	"[{""fromIndex"":0,""hex"":""58 46 49 52""},{""fromIndex"":8,""hex"":""33 39 56 4D""}]"	LE
.dxr		Macromedia Director File	"[{""fromIndex"":0,""hex"":""58 46 49 52""},{""fromIndex"":8,""hex"":""33 39 56 4D""}]"	LE
.drx		Macromedia Director File	"[{""fromIndex"":0,""hex"":""58 46 49 52""},{""fromIndex"":8,""hex"":""33 39 56 4D""}]"	LE
.flv		Flash Video	"[{""fromIndex"":0,""hex"":""46 4C 56""}]"	
.vdi		VirtualBox Virtual Hard Disk File	"[{""fromIndex"":0,""hex"":""3C 3C 3C 20 4F 72 61 63 6C 65 20 56 4D 20 56 69 72 74 75 61 6C 42 6F 78 20 44 69 73 6B 20 49 6D 61 67 65 20 3E 3E 3E""}]"	
.vhd		Windows Virtual PC Virtual Hard Disk File	"[{""fromIndex"":0,""hex"":""63 6F 6E 6E 65 63 74 69 78""}]"	
.vhdx		Windows Virtual PC Windows 8 Virtual Hard Disk File	"[{""fromIndex"":0,""hex"":""76 68 64 78 66 69 6C 65""}]"	
.isz		Compressed ISO Image	"[{""fromIndex"":0,""hex"":""49 73 5A 21""}]"	
.daa		Direct Access Archive PowerISO File	"[{""fromIndex"":0,""hex"":""44 41 41""}]"	
.evt		Windows Event Viewer File	"[{""fromIndex"":0,""hex"":""4C 66 4C 65""}]"	
.evtx		Windows Event Viewer XML File	"[{""fromIndex"":0,""hex"":""45 6C 66 46 69 6C 65""}]"	
.sdb		Windows Customized Database	"[{""fromIndex"":8,""hex"":""73 64 62 66""}]"	
.grp		Windows Program Manager Program Group File	"[{""fromIndex"":0,""hex"":""50 4D 43 43""}]"	
.icm		ICC Profile File	"[{""fromIndex"":0,""hex"":""4B 43 4D 53""}]"	
.dat		Windows Registry File	"[{""fromIndex"":0,""hex"":""72 65 67 66""}]"	
.hiv		Windows Registry File	"[{""fromIndex"":0,""hex"":""72 65 67 66""}]"	
.pst		Microsoft Outlook Personal Storage Table File	"[{""fromIndex"":0,""hex"":""21 42 44 4E""}]"	
.drc		Google Draco 3D Model File	"[{""fromIndex"":0,""hex"":""44 52 41 43 4F""}]"	
.grib		Gridded Data File	"[{""fromIndex"":0,""hex"":""47 52 49 42""}]"	
.grib2		Gridded Data File	"[{""fromIndex"":0,""hex"":""47 52 49 42""}]"	
.blend		Blender File	"[{""fromIndex"":0,""hex"":""42 4C 45 4E 44 45 52""}]"	
.jxl		JPEG XL Image	"[{""fromIndex"":0,""hex"":""00 00 00 0C 4A 58 4C 20 0D 0A 87 0A""}]"	Long
.jxl		JPEG XL Image	"[{""fromIndex"":0,""hex"":""FF 0A""}]"	Short
.ttf		TrueType Font	"[{""fromIndex"":0,""hex"":""00 01 00 00 00""}]"	
.tte		TrueType Font	"[{""fromIndex"":0,""hex"":""00 01 00 00 00""}]"	
.dfont		TrueType Font	"[{""fromIndex"":0,""hex"":""00 01 00 00 00""}]"	
.otf		OpenType Font	"[{""fromIndex"":0,""hex"":""4F 54 54 4F""}]"	
		Modulefile for Environment Modules	"[{""fromIndex"":0,""hex"":""23 25 4D 6F 64 75 6C 65""}]"	
.slob		Slob File	"[{""fromIndex"":0,""hex"":""21 2D 31 53 4C 4F 42 1F""}]"	
		Serialized Java Data	"[{""fromIndex"":0,""hex"":""AC ED""}]"	
.voc		Creative Voice File	"[{""fromIndex"":0,""hex"":""43 72 65 61 74 69 76 65 20 56 6F 69 63 65 20 46 69 6C 65 1A 1A 00""}]"	
.au		Au Audio File	"[{""fromIndex"":0,""hex"":""2E 73 6E 64""}]"	
.snd		Au Audio File	"[{""fromIndex"":0,""hex"":""2E 73 6E 64""}]"	
		OpenGL Iris Perfomer Performer Fast Binary (PFB)	"[{""fromIndex"":0,""hex"":""DB 0A CE 00""}]"	
.hazelrules		Noodlesoft Hazel Rules File	"[{""fromIndex"":0,""hex"":""48 5A 4C 52 00 00 00 18""}]"	
.flp		FL Studio Project File	"[{""fromIndex"":0,""hex"":""46 4C 68 64""}]"	
.flm		FL Studio Mobile Project File	"[{""fromIndex"":0,""hex"":""31 30 4C 46""}]"	
		Vormetric Encryption DPM Version 2.1 Header	"[{""fromIndex"":0,""hex"":""52 4B 4D 43 32 31 30""}]"	
.drw		Micrografx Vector Graphic File	"[{""fromIndex"":0,""hex"":""01 FF 02 04 03 02""}]"	
.dss		Digital Speech Standard (Olympus, Grundig, & Phillips) V2	"[{""fromIndex"":0,""hex"":""02 64 73 73""}]"	
.dss		Digital Speech Standard (Olympus, Grundig, & Phillips) V3	"[{""fromIndex"":0,""hex"":""03 64 73 73""}]"	
.adx		Approach Index File	"[{""fromIndex"":0,""hex"":""03 00 00 00 41 50 50 52""}]"	
.skf		SkinCrafter Skin File	"[{""fromIndex"":0,""hex"":""07 53 4B 46""}]"	
.dtd		DesignTools 2D Design File	"[{""fromIndex"":0,""hex"":""07 64 74 32 64 64 74 64""}]"	
.wallet		MultiBit Bitcoin Wallet File	"[{""fromIndex"":0,""hex"":""0A 16 6F 72 67 2E 62 69 74 63 6F 69 6E 2E 70 72""}]"	
.doc		DeskMate Document	"[{""fromIndex"":0,""hex"":""0D 44 4F 43""}]"	
.dsp		Microsoft Developer Studio Project File	"[{""fromIndex"":0,""hex"":""23 20 4D 69 63 72 6F 73 6F 66 74 20 44 65 76 65 6C 6F 70 65 72 20 53 74 75 64 69 6F""}]"	
.amr		Adaptive Multi-Rate ACELP (Algebraic Code Excited Linear Prediction) Codec File	"[{""fromIndex"":0,""hex"":""23 21 41 4D 52""}]"	
.sil		Skype Compressed Audio	"[{""fromIndex"":0,""hex"":""23 21 53 49 4C 4B 0A""}]"	
.hdr		Radiance High Dynamic Range Image	"[{""fromIndex"":0,""hex"":""23 3F 52 41 44 49 41 4E 43 45 0A""}]"	
.vbe		VBScript Encoded Script	"[{""fromIndex"":0,""hex"":""23 40 7E 5E""}]"	
.cdb		MikroTik WinBox Connection Database (Address Book)	"[{""fromIndex"":0,""hex"":""0D F0 1D C0""}]"	
.mdf		Alcohol 120% CD Image	"[{""fromIndex"":0,""hex"":""00 FF FF FF FF FF FF FF FF FF FF 00 00 02 00 01""}]"	
.b85		ASCII85/BASE85 Encoded File	"[{""fromIndex"":0,""hex"":""3C 7E 36 3C 5C 25 5F 30 67 53 71 68 3B""},{""fromIndex"":-3,""hex"":""7E 3E 0A""}]"	
.jb2		JBIG2 Image	"[{""fromIndex"":0,""hex"":""97 4A 42 32 0D 0A 1A 0A""},{""fromIndex"":-8,""hex"":""03 33 00 01 00 00 00 00""}]"	

